place_id,place_kind,external_key,name_ja,lat,lon,reason
jp-14:place:site.jiban-chinka-43,site,kanagawa_jiban_chinka__43,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row29_col11（data/processed/kanagawa_jiban_chinka.csv well_id=43; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-432,site,kanagawa_jiban_chinka__432,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row44_col11（data/processed/kanagawa_jiban_chinka.csv well_id=432; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-49,site,kanagawa_jiban_chinka__49,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row32_col11（data/processed/kanagawa_jiban_chinka.csv well_id=49; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-5,site,kanagawa_jiban_chinka__5,千鳥町観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well5（data/processed/kanagawa_jiban_chinka.csv well_id=5; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-6,site,kanagawa_jiban_chinka__6,小向観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well6（data/processed/kanagawa_jiban_chinka.csv well_id=6; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-60A,site,kanagawa_jiban_chinka__60A,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row53_col11（data/processed/kanagawa_jiban_chinka.csv well_id=60A; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-61,site,kanagawa_jiban_chinka__61,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row52_col11（data/processed/kanagawa_jiban_chinka.csv well_id=61; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-7,site,kanagawa_jiban_chinka__7,坂戸観測所,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表9!well7（data/processed/kanagawa_jiban_chinka.csv well_id=7; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-72C,site,kanagawa_jiban_chinka__72C,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row55_col11（data/processed/kanagawa_jiban_chinka.csv well_id=72C; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
jp-14:place:site.jiban-chinka-79,site,kanagawa_jiban_chinka__79,,,,https://www.pref.kanagawa.jp/documents/38669/r5table.xlsx#r5table.xlsx!表4!row27_col11（data/processed/kanagawa_jiban_chinka.csv well_id=79; scripts/c84_jiban_chinka.py; 原本(地盤沈下観測井台帳)に緯度経度の記載なし）
